first_name,last_name,position,injury_status,week,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Zack,Moss,RB,,6,2023-10-15,,IND,JAX,+3.5,44,20.3,6200,7,9.0,23.2,36.5,10.0,1.61
Jerome,Ford,RB,Q,6,2023-10-15,,CLE,SF,+9.5,36,13.3,5200,10,0.0,11.7,27.1,9.8,1.88
P.J.,Walker,QB,,6,2023-10-15,,CLE,SF,+9.5,36,13.3,4000,5,-1.0,8.6,20.7,9.8,2.45
DeVante,Parker,WR,,6,2023-10-15,,NE,LV,+3,41.5,19.3,3500,11,3.9,10.2,25.9,9.8,2.80
Cole,Kmet,TE,Q,6,2023-10-15,,CHI,MIN,+3,44,20.5,4600,19,4.2,12.8,27.6,9.6,2.09
Zach,Ertz,TE,,6,2023-10-15,,ARI,LAR,+6.5,47.5,20.5,3600,29,2.6,8.5,11.6,9.4,2.61
Jahan,Dotson,WR,,6,2023-10-15,,WAS,ATL,+1,42.5,20.8,4700,6,4.1,7.4,12.7,9.4,2.00
Kyle,Pitts,TE,,6,2023-10-15,,ATL,WAS,-1,42.5,21.8,3500,6,3.5,7.7,15.7,9.3,2.66
Curtis,Samuel,WR,,6,2023-10-15,,WAS,ATL,+1,42.5,20.8,3700,6,6.2,12.3,18.5,9.3,2.51
Emari,Demercado,RB,,6,2023-10-15,,ARI,LAR,+6.5,47.5,20.5,4900,9,0.0,4.2,12.7,9.2,1.88
Tutu,Atwell,WR,,6,2023-10-15,,LAR,ARI,-6.5,47.5,27,5100,25,7.4,13.9,20.9,9.2,1.80
49ers,,DST,,6,2023-10-15,,SF,CLE,-9.5,36,22.8,4000,30,2.0,8.8,16.0,8.9,2.23
Dalton,Schultz,TE,,6,2023-10-15,,HOU,NO,+1.5,42.5,20.5,3600,1,1.9,8.9,19.5,8.8,2.44
Tank,Dell,WR,Q,6,2023-10-15,,HOU,NO,+1.5,42.5,20.5,5000,14,3.9,13.5,28.5,8.8,1.76
Logan,Thomas,TE,,6,2023-10-15,,WAS,ATL,+1,42.5,20.8,3500,31,3.6,10.2,21.7,8.7,2.49
Allen,Lazard,WR,,6,2023-10-15,,NYJ,PHI,+6.5,42.5,18,3700,29,4.3,7.8,15.1,8.5,2.30
Rashid,Shaheed,WR,,6,2023-10-15,,NO,HOU,-1.5,42.5,22,3700,4,0.0,8.3,20.0,8.5,2.30
Jaxon,Smith-Njigba,WR,,6,2023-10-15,,SEA,CIN,+2.5,44.5,21,3600,9,2.0,4.6,8.4,8.5,2.36
Rondale,Moore,WR,,6,2023-10-15,,ARI,LAR,+6.5,47.5,20.5,3500,7,0.0,7.3,16.2,8.4,2.40
Tyler,Higbee,TE,,6,2023-10-15,,LAR,ARI,-6.5,47.5,27,4000,4,4.0,7.9,12.1,8.2,2.05
